Lambda,Error,
0.0039,6288.34388764,
0.0039002,6288.34379384,
0.0039003999999999996,6288.34370022,
0.0039005999999999997,6288.34360678,
0.0039008,6288.34351351,
0.003901,6288.34342042,
0.0039011999999999996,6288.34332752,
0.0039013999999999997,6288.34323478,
0.0039016,6288.34314223,
0.0039018,6288.34304985,
0.0039019999999999997,6288.34295765,
0.0039021999999999998,6288.34286563,
0.0039024,6288.34277379,
0.0039026,6288.34268213,
0.0039027999999999997,6288.34259064,
0.003903,6288.34249933,
0.0039032,6288.3424082,
0.0039034,6288.34231724,
0.0039035999999999997,6288.34222647,
0.0039038,6288.34213587,
0.003904,6288.34204545,
0.0039042,6288.34195521,
0.0039043999999999997,6288.34186514,
0.0039046,6288.34177525,
0.0039048,6288.34168555,
0.0039049999999999996,6288.34159602,
0.0039051999999999997,6288.34150666,
0.0039054,6288.34141749,
0.0039056,6288.3413285,
0.0039057999999999996,6288.34123968,
0.0039059999999999997,6288.34115104,
0.0039062,6288.34106258,
0.0039064,6288.34097429,
0.0039066,6288.34088619,
0.0039068,6288.34079826,
0.003907,6288.34071052,
0.0039071999999999996,6288.34062295,
0.0039074,6288.34053555,
0.0039076,6288.34044834,
0.0039077999999999995,6288.34036131,
0.003908,6288.34027445,
0.0039082,6288.34018777,
0.0039084,6288.34010127,
0.0039086,6288.34001495,
0.0039088,6288.33992881,
0.003909,6288.33984285,
0.0039092,6288.33975706,
0.0039093999999999995,6288.33967146,
0.0039096,6288.33958603,
0.0039098,6288.33950078,
0.00391,6288.33941571,
0.0039102,6288.33933082,
0.0039104,6288.3392461,
0.0039106,6288.33916157,
0.0039108,6288.33907721,
0.0039109999999999995,6288.33899304,
0.0039112,6288.33890904,
0.0039114,6288.33882522,
0.0039115999999999995,6288.33874158,
0.0039118,6288.33865812,
0.003912,6288.33857483,
0.0039122,6288.33849173,
0.0039124,6288.3384088,
0.0039126,6288.33832606,
0.0039128,6288.33824349,
0.003913,6288.3381611,
0.0039131999999999995,6288.33807889,
0.0039134,6288.33799686,
0.0039136,6288.33791501,
0.0039138,6288.33783334,
0.003914,6288.33775185,
0.0039142,6288.33767054,
0.0039144,6288.3375894,
0.0039146,6288.33750845,
0.0039147999999999995,6288.33742767,
0.003915,6288.33734708,
0.0039152,6288.33726666,
0.0039153999999999994,6288.33718642,
0.0039156,6288.33710636,
0.0039158,6288.33702648,
0.003916,6288.33694678,
0.0039162,6288.33686726,
0.0039164,6288.33678792,
0.0039166,6288.33670876,
0.0039168,6288.33662978,
0.0039169999999999995,6288.33655097,
0.0039172,6288.33647235,
0.0039174,6288.33639391,
0.0039176,6288.33631564,
0.0039178,6288.33623756,
0.003918,6288.33615965,
0.0039182,6288.33608193,
0.0039184,6288.33600438,
0.0039185999999999995,6288.33592702,
0.0039188,6288.33584983,
0.003919,6288.33577282,
0.0039192,6288.335696,
0.0039194,6288.33561935,
0.0039196,6288.33554288,
0.0039198,6288.3354666,
0.00392,6288.33539049,
0.0039201999999999996,6288.33531456,
0.0039204,6288.33523881,
0.0039206,6288.33516324,
0.0039207999999999995,6288.33508786,
0.003921,6288.33501265,
0.0039212,6288.33493762,
0.0039214,6288.33486277,
0.0039216,6288.3347881,
0.0039218,6288.33471361,
0.003922,6288.33463931,
0.0039222,6288.33456518,
0.0039223999999999995,6288.33449123,
0.0039226,6288.33441746,
0.0039228,6288.33434388,
0.003923,6288.33427047,
0.0039232,6288.33419724,
0.0039234,6288.33412419,
0.0039236,6288.33405133,
0.0039238,6288.33397864,
0.0039239999999999995,6288.33390614,
0.0039242,6288.33383381,
0.0039244,6288.33376166,
0.0039246,6288.3336897,
0.0039248,6288.33361791,
0.003925,6288.33354631,
0.0039252,6288.33347489,
0.0039254,6288.33340364,
0.0039256,6288.33333258,
0.0039258,6288.3332617,
0.003926,6288.333191,
0.0039261999999999995,6288.33312048,
0.0039264,6288.33305013,
0.0039266,6288.33297997,
0.0039268,6288.33291,
0.003927,6288.3328402,
0.0039272,6288.33277058,
0.0039274,6288.33270114,
0.0039276,6288.33263188,
0.0039277999999999995,6288.33256281,
0.003928,6288.33249391,
0.0039282,6288.3324252,
0.0039284,6288.33235667,
0.0039286,6288.33228831,
0.0039288,6288.33222014,
0.003929,6288.33215215,
0.0039292,6288.33208434,
0.0039293999999999996,6288.33201671,
0.0039296,6288.33194926,
0.0039298,6288.331882,
0.0039299999999999995,6288.33181491,
0.0039302,6288.33174801,
0.0039304,6288.33168128,
0.0039306,6288.33161474,
0.0039308,6288.33154838,
0.003931,6288.3314822,
0.0039312,6288.3314162,
0.0039314,6288.33135038,
0.0039315999999999995,6288.33128474,
0.0039318,6288.33121929,
0.003932,6288.33115401,
0.0039322,6288.33108892,
