Cy,Cx,Lambda,Error,
-10,30,0.00208,3032205.93859,
-10,30,0.0020803999999999996,3031625.6029,
-10,30,0.0020808,3031045.4915,
-10,30,0.0020811999999999996,3030465.60427,
-10,30,0.0020816,3029885.94106,
-10,30,0.0020819999999999996,3029306.50175,
-10,30,0.0020824,3028727.28622,
-10,30,0.0020827999999999997,3028148.29433,
-10,30,0.0020832,3027569.52596,
-10,30,0.0020835999999999997,3026990.98098,
-10,30,0.002084,3026412.65925,
-10,30,0.0020843999999999997,3025834.56065,
-10,30,0.0020848,3025256.68506,
-10,30,0.0020851999999999997,3024679.03233,
-10,30,0.0020856,3024101.60236,
-10,30,0.0020859999999999997,3023524.395,
-10,30,0.0020864,3022947.41013,
-10,30,0.0020867999999999998,3022370.64762,
-10,30,0.0020872,3021794.10735,
-10,30,0.0020876,3021217.78918,
-10,30,0.002088,3020641.69299,
-10,30,0.0020884,3020065.81865,
-10,30,0.0020888,3019490.16604,
-10,30,0.0020892,3018914.73502,
-10,30,0.0020896,3018339.52548,
-10,30,0.00209,3017764.53727,
-10,30,0.0020903999999999996,3017189.77028,
-10,30,0.0020908,3016615.22438,
-10,30,0.0020911999999999997,3016040.89944,
-10,30,0.0020916,3015466.79534,
-10,30,0.0020919999999999997,3014892.91195,
-10,30,0.0020924,3014319.24914,
-10,30,0.0020927999999999997,3013745.80678,
-10,30,0.0020932,3013172.58475,
-10,30,0.0020935999999999997,3012599.58293,
-10,30,0.002094,3012026.80119,
-10,30,0.0020943999999999997,3011454.2394,
-10,30,0.0020948,3010881.89743,
-10,30,0.0020951999999999998,3010309.77516,
-10,30,0.0020956,3009737.87247,
-10,30,0.0020959999999999998,3009166.18922,
-10,30,0.0020964,3008594.7253,
-10,30,0.0020968,3008023.48058,
-10,30,0.0020972,3007452.45493,
-10,30,0.0020976,3006881.64822,
-10,30,0.002098,3006311.06034,
-10,30,0.0020984,3005740.69116,
-10,30,0.0020988,3005170.54055,
-10,30,0.0020992,3004600.60838,
-10,30,0.0020996,3004030.89454,
-10,30,0.0021,3003461.3989,
-10,30,0.0021003999999999997,3002892.12132,
-10,30,0.0021008,3002323.0617,
-10,30,0.0021011999999999997,3001754.21991,
-10,30,0.0021016,3001185.59581,
-10,30,0.0021019999999999997,3000617.18929,
-10,30,0.0021024,3000049.00022,
-10,30,0.0021027999999999997,2999481.02848,
-10,30,0.0021032,2998913.27395,
-10,30,0.0021035999999999997,2998345.73649,
-10,30,0.002104,2997778.41599,
-10,30,0.0021043999999999998,2997211.31233,
-10,30,0.0021048,2996644.42537,
-10,30,0.0021051999999999998,2996077.755,
-10,30,0.0021056,2995511.3011,
-10,30,0.002106,2994945.06353,
-10,30,0.0021064,2994379.04218,
-10,30,0.0021068,2993813.23693,
-10,30,0.0021072,2993247.64764,
-10,30,0.0021076,2992682.2742,
-10,30,0.002108,2992117.11649,
-10,30,0.0021084,2991552.17438,
-10,30,0.0021088,2990987.44775,
-10,30,0.0021092,2990422.93648,
-10,30,0.0021096,2989858.64044,
-10,30,0.00211,2989294.55952,
-10,30,0.0021103999999999997,2988730.69359,
-10,30,0.0021108,2988167.04252,
-10,30,0.0021111999999999997,2987603.6062,
-10,30,0.0021116,2987040.38451,
-10,30,0.0021119999999999997,2986477.37731,
-10,30,0.0021124,2985914.5845,
-10,30,0.0021127999999999997,2985352.00595,
-10,30,0.0021132,2984789.64154,
-10,30,0.0021135999999999998,2984227.49114,
-10,30,0.002114,2983665.55464,
-10,30,0.0021144,2983103.83191,
-10,30,0.0021148,2982542.32283,
-10,30,0.0021152,2981981.02729,
-10,30,0.0021156,2981419.94515,
-10,30,0.002116,2980859.0763,
-10,30,0.0021164,2980298.42063,
-10,30,0.0021168,2979737.978,
-10,30,0.0021172,2979177.7483,
-10,30,0.0021176,2978617.7314,
-10,30,0.002118,2978057.92719,
-10,30,0.0021184,2977498.33555,
-10,30,0.0021188,2976938.95635,
-10,30,0.0021192,2976379.78948,
-10,30,0.0021196,2975820.83481,
-10,31,0.0021196,2975804.79258,
-10,32,0.0021196,2975788.74085,
-10,33,0.0021196,2975772.67971,
-10,34,0.0021196,2975756.60923,
-10,35,0.0021196,2975740.52948,
-10,36,0.0021196,2975724.44056,
-10,37,0.0021196,2975708.34255,
-10,38,0.0021196,2975692.23551,
-10,39,0.0021196,2975676.11953,
-10,40,0.0021196,2975659.9947,
-10,41,0.0021196,2975643.86108,
-10,42,0.0021196,2975627.71877,
-10,43,0.0021196,2975611.56783,
-10,44,0.0021196,2975595.40836,
-10,45,0.0021196,2975579.24043,
-10,46,0.0021196,2975563.06412,
-10,47,0.0021196,2975546.87951,
-10,48,0.0021196,2975530.68669,
-10,49,0.0021196,2975514.48573,
-10,50,0.0021196,2975498.27671,
-10,51,0.0021196,2975482.05971,
-10,52,0.0021196,2975465.83482,
-10,53,0.0021196,2975449.60212,
-10,54,0.0021196,2975433.36168,
-10,55,0.0021196,2975417.11359,
-10,56,0.0021196,2975400.85793,
-10,57,0.0021196,2975384.59478,
-10,58,0.0021196,2975368.32421,
-10,59,0.0021196,2975352.04632,
-10,60,0.0021196,2975335.76118,
-10,61,0.0021196,2975319.46887,
-10,62,0.0021196,2975303.16948,
-10,63,0.0021196,2975286.86309,
-10,64,0.0021196,2975270.54977,
-10,65,0.0021196,2975254.22961,
-10,66,0.0021196,2975237.90269,
-10,67,0.0021196,2975221.56909,
-10,68,0.0021196,2975205.2289,
-10,69,0.0021196,2975188.88219,
