Cy,Cx,Lambda,Error,
10,30,0.00208,3027068.09264,
10,30,0.0020803999999999996,3026485.94239,
10,30,0.0020808,3025904.0162,
10,30,0.0020811999999999996,3025322.31395,
10,30,0.0020816,3024740.8355,
10,30,0.0020819999999999996,3024159.58073,
10,30,0.0020824,3023578.54951,
10,30,0.0020827999999999997,3022997.7417,
10,30,0.0020832,3022417.15719,
10,30,0.0020835999999999997,3021836.79583,
10,30,0.002084,3021256.65751,
10,30,0.0020843999999999997,3020676.7421,
10,30,0.0020848,3020097.04946,
10,30,0.0020851999999999997,3019517.57947,
10,30,0.0020856,3018938.33199,
10,30,0.0020859999999999997,3018359.30692,
10,30,0.0020864,3017780.5041,
10,30,0.0020867999999999998,3017201.92342,
10,30,0.0020872,3016623.56476,
10,30,0.0020876,3016045.42797,
10,30,0.002088,3015467.51294,
10,30,0.0020884,3014889.81953,
10,30,0.0020888,3014312.34762,
10,30,0.0020892,3013735.09709,
10,30,0.0020896,3013158.0678,
10,30,0.00209,3012581.25963,
10,30,0.0020903999999999996,3012004.67245,
10,30,0.0020908,3011428.30614,
10,30,0.0020911999999999997,3010852.16056,
10,30,0.0020916,3010276.2356,
10,30,0.0020919999999999997,3009700.53112,
10,30,0.0020924,3009125.04699,
10,30,0.0020927999999999997,3008549.7831,
10,30,0.0020932,3007974.73932,
10,30,0.0020935999999999997,3007399.91552,
10,30,0.002094,3006825.31157,
10,30,0.0020943999999999997,3006250.92735,
10,30,0.0020948,3005676.76273,
10,30,0.0020951999999999998,3005102.81758,
10,30,0.0020956,3004529.09179,
10,30,0.0020959999999999998,3003955.58522,
10,30,0.0020964,3003382.29776,
10,30,0.0020968,3002809.22927,
10,30,0.0020972,3002236.37962,
10,30,0.0020976,3001663.7487,
10,30,0.002098,3001091.33638,
10,30,0.0020984,3000519.14254,
10,30,0.0020988,2999947.16704,
10,30,0.0020992,2999375.40977,
10,30,0.0020996,2998803.8706,
10,30,0.0021,2998232.54941,
10,30,0.0021003999999999997,2997661.44606,
10,30,0.0021008,2997090.56044,
10,30,0.0021011999999999997,2996519.89243,
10,30,0.0021016,2995949.44189,
10,30,0.0021019999999999997,2995379.20871,
10,30,0.0021024,2994809.19275,
10,30,0.0021027999999999997,2994239.3939,
10,30,0.0021032,2993669.81204,
10,30,0.0021035999999999997,2993100.44703,
10,30,0.002104,2992531.29876,
10,30,0.0021043999999999998,2991962.3671,
10,30,0.0021048,2991393.65193,
10,30,0.0021051999999999998,2990825.15312,
10,30,0.0021056,2990256.87055,
10,30,0.002106,2989688.8041,
10,30,0.0021064,2989120.95365,
10,30,0.0021068,2988553.31907,
10,30,0.0021072,2987985.90024,
10,30,0.0021076,2987418.69703,
10,30,0.002108,2986851.70933,
10,30,0.0021084,2986284.93701,
10,30,0.0021088,2985718.37995,
10,30,0.0021092,2985152.03803,
10,30,0.0021096,2984585.91112,
10,30,0.00211,2984019.9991,
10,30,0.0021103999999999997,2983454.30185,
10,30,0.0021108,2982888.81925,
10,30,0.0021111999999999997,2982323.55117,
10,30,0.0021116,2981758.4975,
10,30,0.0021119999999999997,2981193.65811,
10,30,0.0021124,2980629.03288,
10,30,0.0021127999999999997,2980064.62169,
10,30,0.0021132,2979500.42442,
10,30,0.0021135999999999998,2978936.44095,
10,30,0.002114,2978372.67114,
10,30,0.0021144,2977809.1149,
10,30,0.0021148,2977245.77208,
10,30,0.0021152,2976682.64258,
10,30,0.0021156,2976119.72626,
10,30,0.002116,2975557.02302,
10,30,0.0021164,2974994.53272,
10,30,0.0021168,2974432.25525,
10,30,0.0021172,2973870.19049,
10,30,0.0021176,2973308.33832,
10,30,0.002118,2972746.69862,
10,30,0.0021184,2972185.27126,
10,30,0.0021188,2971624.05612,
10,30,0.0021192,2971063.0531,
10,30,0.0021196,2970502.26206,
10,31,0.0021196,2970485.51247,
10,32,0.0021196,2970468.76603,
10,33,0.0021196,2970452.02282,
10,34,0.0021196,2970435.28293,
10,35,0.0021196,2970418.54644,
10,36,0.0021196,2970401.81344,
10,37,0.0021196,2970385.084,
10,38,0.0021196,2970368.35823,
10,39,0.0021196,2970351.63619,
10,40,0.0021196,2970334.91798,
10,41,0.0021196,2970318.20368,
10,42,0.0021196,2970301.49338,
10,43,0.0021196,2970284.78716,
10,44,0.0021196,2970268.0851,
10,45,0.0021196,2970251.38729,
10,46,0.0021196,2970234.69382,
10,47,0.0021196,2970218.00477,
10,48,0.0021196,2970201.32022,
10,49,0.0021196,2970184.64026,
10,50,0.0021196,2970167.96497,
10,51,0.0021196,2970151.29444,
10,52,0.0021196,2970134.62875,
10,53,0.0021196,2970117.96799,
10,54,0.0021196,2970101.31224,
10,55,0.0021196,2970084.66159,
10,56,0.0021196,2970068.01612,
10,57,0.0021196,2970051.37591,
10,58,0.0021196,2970034.74105,
10,59,0.0021196,2970018.11163,
10,60,0.0021196,2970001.48772,
10,61,0.0021196,2969984.86941,
10,62,0.0021196,2969968.25679,
10,63,0.0021196,2969951.64994,
10,64,0.0021196,2969935.04894,
10,65,0.0021196,2969918.45389,
10,66,0.0021196,2969901.86485,
10,67,0.0021196,2969885.28192,
10,68,0.0021196,2969868.70518,
10,69,0.0021196,2969852.13472,
