Lambda,Error
0.001,6298.227841
0.001009,6298.192238
0.001018,6298.156604
0.001027,6298.120939
0.001036,6298.085242
0.001045,6298.049515
0.001054,6298.013757
0.001063,6297.977968
0.001072,6297.942147
0.001081,6297.906296
0.00109,6297.870413
0.001099,6297.834499
0.001108,6297.798554
0.001117,6297.762578
0.001126,6297.72657
0.001135,6297.690532
0.001144,6297.654463
0.001153,6297.618362
0.001162,6297.582231
0.001171,6297.546069
0.00118,6297.509875
0.001189,6297.473651
0.001198,6297.437397
0.001207,6297.401111
0.001216,6297.364795
0.001225,6297.328449
0.001234,6297.292072
0.001243,6297.255665
0.001252,6297.219228
0.001261,6297.182761
0.00127,6297.146263
0.001279,6297.109736
0.001288,6297.07318
0.001297,6297.036594
0.001306,6296.999978
0.001315,6296.963334
0.001324,6296.92666
0.001333,6296.889957
0.001342,6296.853226
0.001351,6296.816467
0.00136,6296.779679
0.001369,6296.742863
0.001378,6296.706019
0.001387,6296.669147
0.001396,6296.632249
0.001405,6296.595322
0.001414,6296.55837
0.001423,6296.52139
0.001432,6296.484384
0.001441,6296.447352
0.00145,6296.410294
0.001459,6296.37321
0.001468,6296.336101
0.001477,6296.298967
0.001486,6296.261809
0.001495,6296.224626
0.001504,6296.187419
0.001513,6296.150188
0.001522,6296.112934
0.001531,6296.075657
0.00154,6296.038357
0.001549,6296.001035
0.001558,6295.963691
0.001567,6295.926325
0.001576,6295.888938
0.001585,6295.851531
0.001594,6295.814103
0.001603,6295.776655
0.001612,6295.739187
0.001621,6295.701701
0.00163,6295.664195
0.001639,6295.626672
0.001648,6295.589131
0.001657,6295.551572
0.001666,6295.513997
0.001675,6295.476405
0.001684,6295.438798
0.001693,6295.401175
0.001702,6295.363537
0.001711,6295.325885
0.00172,6295.288219
0.001729,6295.250539
0.001738,6295.212848
0.001747,6295.175143
0.001756,6295.137428
0.001765,6295.099701
0.001774,6295.061964
0.001783,6295.024216
0.001792,6294.98646
0.001801,6294.948695
0.00181,6294.910922
0.001819,6294.873141
0.001828,6294.835353
0.001837,6294.79756
0.001846,6294.759761
0.001855,6294.721957
0.001864,6294.684148
0.001873,6294.646336
0.001882,6294.608522
0.001891,6294.570705
0.0019,6294.532887
0.001909,6294.495068
0.001918,6294.457249
0.001927,6294.419431
0.001936,6294.381614
0.001945,6294.3438
0.001954,6294.305988
0.001963,6294.268181
0.001972,6294.230378
0.001981,6294.19258
0.00199,6294.154788
0.001999,6294.117003
0.002008,6294.079226
0.002017,6294.041458
0.002026,6294.003699
0.002035,6293.96595
0.002044,6293.928213
0.002053,6293.890487
0.002062,6293.852774
0.002071,6293.815075
0.00208,6293.77739
0.002089,6293.739721
0.002098,6293.702069
0.002107,6293.664434
0.002116,6293.626817
0.002125,6293.589219
0.002134,6293.551642
0.002143,6293.514085
0.002152,6293.476551
0.002161,6293.43904
0.00217,6293.401553
0.002179,6293.364091
0.002188,6293.326655
0.002197,6293.289246
0.002206,6293.251865
0.002215,6293.214513
0.002224,6293.177191
0.002233,6293.139901
0.002242,6293.102643
0.002251,6293.065418
0.00226,6293.028228
0.002269,6292.991073
0.002278,6292.953955
0.002287,6292.916875
0.002296,6292.879833
0.002305,6292.842832
0.002314,6292.805872
0.002323,6292.768953
0.002332,6292.732079
0.002341,6292.695249
0.00235,6292.658464
0.002359,6292.621727
0.002368,6292.585038
0.002377,6292.548398
0.002386,6292.511809
0.002395,6292.475271
0.002404,6292.438787
0.002413,6292.402357
0.002422,6292.365982
0.002431,6292.329664
0.00244,6292.293404
0.002449,6292.257203
0.002458,6292.221063
0.002467,6292.184985
0.002476,6292.14897
0.002485,6292.11302
0.002494,6292.077136
0.002503,6292.041318
0.002512,6292.005569
0.002521,6291.96989
0.00253,6291.934283
0.002539,6291.898747
0.002548,6291.863286
0.002557,6291.8279
0.002566,6291.792591
0.002575,6291.757361
0.002584,6291.722209
0.002593,6291.687139
0.002602,6291.652151
0.002611,6291.617247
0.00262,6291.582428
0.002629,6291.547696
0.002638,6291.513053
0.002647,6291.478499
0.002656,6291.444036
0.002665,6291.409666
0.002674,6291.37539
0.002683,6291.34121
0.002692,6291.307127
0.002701,6291.273143
0.00271,6291.239259
0.002719,6291.205478
0.002728,6291.171799
0.002737,6291.138225
0.002746,6291.104758
0.002755,6291.071399
0.002764,6291.03815
0.002773,6291.005012
0.002782,6290.971987
0.002791,6290.939076
0.0028,6290.906282
0.002809,6290.873605
0.002818,6290.841048
0.002827,6290.808611
0.002836,6290.776298
0.002845,6290.744108
0.002854,6290.712045
0.002863,6290.680109
0.002872,6290.648303
0.002881,6290.616628
0.00289,6290.585086
0.002899,6290.553678
0.002908,6290.522406
0.002917,6290.491272
0.002926,6290.460277
0.002935,6290.429424
0.002944,6290.398715
0.002953,6290.36815
0.002962,6290.337731
0.002971,6290.307461
0.00298,6290.277341
0.002989,6290.247373
0.002998,6290.217559
0.003007,6290.1879
0.003016,6290.158399
0.003025,6290.129057
0.003034,6290.099875
0.003043,6290.070857
0.003052,6290.042002
0.003061,6290.013315
0.00307,6289.984795
0.003079,6289.956446
0.003088,6289.928269
0.003097,6289.900265
0.003106,6289.872438
0.003115,6289.844787
0.003124,6289.817317
0.003133,6289.790027
0.003142,6289.762921
0.003151,6289.736
0.00316,6289.709266
0.003169,6289.682721
0.003178,6289.656366
0.003187,6289.630205
0.003196,6289.604238
0.003205,6289.578468
0.003214,6289.552896
0.003223,6289.527525
0.003232,6289.502357
0.003241,6289.477393
0.00325,6289.452635
0.003259,6289.428086
0.003268,6289.403747
0.003277,6289.37962
0.003286,6289.355707
0.003295,6289.332011
0.003304,6289.308533
0.003313,6289.285276
0.003322,6289.262241
0.003331,6289.23943
0.00334,6289.216845
0.003349,6289.194488
0.003358,6289.172362
0.003367,6289.150469
0.003376,6289.128809
0.003385,6289.107386
0.003394,6289.086202
0.003403,6289.065258
0.003412,6289.044557
0.003421,6289.0241
0.00343,6289.00389
0.003439,6288.983928
0.003448,6288.964218
0.003457,6288.94476
0.003466,6288.925557
0.003475,6288.906611
0.003484,6288.887924
0.003493,6288.869498
0.003502,6288.851336
0.003511,6288.833439
0.00352,6288.815809
0.003529,6288.798448
0.003538,6288.78136
0.003547,6288.764545
0.003556,6288.748005
0.003565,6288.731744
0.003574,6288.715763
0.003583,6288.700063
0.003592,6288.684648
0.003601,6288.66952
0.00361,6288.654679
0.003619,6288.640129
0.003628,6288.625872
0.003637,6288.61191
0.003646,6288.598245
0.003655,6288.584879
0.003664,6288.571813
0.003673,6288.559052
0.003682,6288.546595
0.003691,6288.534447
0.0037,6288.522607
0.003709,6288.51108
0.003718,6288.499867
0.003727,6288.48897
0.003736,6288.478391
0.003745,6288.468132
0.003754,6288.458197
0.003763,6288.448585
0.003772,6288.439301
0.003781,6288.430345
0.00379,6288.421721
0.003799,6288.41343
0.003808,6288.405474
0.003817,6288.397856
0.003826,6288.390577
0.003835,6288.383641
0.003844,6288.377048
0.003853,6288.370801
0.003862,6288.364903
0.003871,6288.359355
0.00388,6288.35416
0.003889,6288.349319
0.003898,6288.344835
0.003907,6288.340711
0.003916,6288.336947
0.003925,6288.333546
0.003934,6288.330511
0.003943,6288.327844
0.003952,6288.325546
0.003961,6288.32362
0.00397,6288.322068
0.003979,6288.320892
0.003988,6288.320094
0.003997,6288.319676
0.004006,6288.319641
0.004015,6288.319991
0.004024,6288.320727
0.004033,6288.321853
0.004042,6288.323369
0.004051,6288.325278
0.00406,6288.327582
0.004069,6288.330284
0.004078,6288.333385
0.004087,6288.336888
0.004096,6288.340795
0.004105,6288.345107
0.004114,6288.349827
0.004123,6288.354957
0.004132,6288.360499
0.004141,6288.366455
0.00415,6288.372827
0.004159,6288.379618
0.004168,6288.386829
0.004177,6288.394462
0.004186,6288.402521
0.004195,6288.411005
0.004204,6288.419919
0.004213,6288.429263
0.004222,6288.43904
0.004231,6288.449252
0.00424,6288.459901
0.004249,6288.470988
0.004258,6288.482517
0.004267,6288.494489
0.004276,6288.506906
0.004285,6288.51977
0.004294,6288.533083
0.004303,6288.546848
0.004312,6288.561065
0.004321,6288.575738
0.00433,6288.590868
0.004339,6288.606457
0.004348,6288.622508
0.004357,6288.639021
0.004366,6288.656
0.004375,6288.673446
0.004384,6288.691361
0.004393,6288.709747
0.004402,6288.728607
0.004411,6288.747941
0.00442,6288.767752
0.004429,6288.788042
0.004438,6288.808813
0.004447,6288.830067
0.004456,6288.851806
0.004465,6288.874031
0.004474,6288.896745
0.004483,6288.919949
0.004492,6288.943645
0.004501,6288.967836
0.00451,6288.992523
0.004519,6289.017708
0.004528,6289.043392
0.004537,6289.069579
0.004546,6289.096269
0.004555,6289.123464
0.004564,6289.151167
0.004573,6289.179379
0.004582,6289.208102
0.004591,6289.237338
0.0046,6289.267088
0.004609,6289.297355
0.004618,6289.32814
0.004627,6289.359445
0.004636,6289.391271
0.004645,6289.423622
0.004654,6289.456497
0.004663,6289.4899
0.004672,6289.523831
0.004681,6289.558293
0.00469,6289.593287
0.004699,6289.628815
0.004708,6289.664879
0.004717,6289.70148
0.004726,6289.738621
0.004735,6289.776302
0.004744,6289.814526
0.004753,6289.853293
0.004762,6289.892607
0.004771,6289.932468
0.00478,6289.972878
0.004789,6290.013839
0.004798,6290.055352
0.004807,6290.097419
0.004816,6290.140042
0.004825,6290.183222
0.004834,6290.22696
0.004843,6290.271259
0.004852,6290.31612
0.004861,6290.361544
0.00487,6290.407533
0.004879,6290.454088
0.004888,6290.501212
0.004897,6290.548905
0.004906,6290.597169
0.004915,6290.646005
0.004924,6290.695416
0.004933,6290.745402
0.004942,6290.795965
0.004951,6290.847106
0.00496,6290.898827
0.004969,6290.951129
0.004978,6291.004014
0.004987,6291.057483
0.004996,6291.111537
0.005005,6291.166178
0.005014,6291.221407
0.005023,6291.277226
0.005032,6291.333635
0.005041,6291.390637
0.00505,6291.448232
0.005059,6291.506422
0.005068,6291.565209
0.005077,6291.624592
0.005086,6291.684575
0.005095,6291.745157
0.005104,6291.806341
0.005113,6291.868127
0.005122,6291.930516
0.005131,6291.993511
0.00514,6292.057112
0.005149,6292.12132
0.005158,6292.186136
0.005167,6292.251562
0.005176,6292.317599
0.005185,6292.384248
0.005194,6292.45151
0.005203,6292.519387
0.005212,6292.587878
0.005221,6292.656986
0.00523,6292.726712
0.005239,6292.797056
0.005248,6292.86802
0.005257,6292.939605
0.005266,6293.011811
0.005275,6293.08464
0.005284,6293.158093
0.005293,6293.23217
0.005302,6293.306873
0.005311,6293.382204
0.00532,6293.458161
0.005329,6293.534748
0.005338,6293.611964
0.005347,6293.68981
0.005356,6293.768289
0.005365,6293.847399
0.005374,6293.927143
0.005383,6294.00752
0.005392,6294.088533
0.005401,6294.170182
0.00541,6294.252468
0.005419,6294.335391
0.005428,6294.418952
0.005437,6294.503153
0.005446,6294.587994
0.005455,6294.673475
0.005464,6294.759598
0.005473,6294.846364
0.005482,6294.933773
0.005491,6295.021825
0.0055,6295.110523
0.005509,6295.199866
0.005518,6295.289855
0.005527,6295.38049
0.005536,6295.471774
0.005545,6295.563705
0.005554,6295.656286
0.005563,6295.749516
0.005572,6295.843397
0.005581,6295.937928
0.00559,6296.033111
0.005599,6296.128947
0.005608,6296.225435
0.005617,6296.322577
0.005626,6296.420374
0.005635,6296.518825
0.005644,6296.617931
0.005653,6296.717694
0.005662,6296.818113
0.005671,6296.91919
0.00568,6297.020924
0.005689,6297.123317
0.005698,6297.226369
0.005707,6297.330081
0.005716,6297.434453
0.005725,6297.539485
0.005734,6297.645179
0.005743,6297.751535
0.005752,6297.858553
0.005761,6297.966234
0.00577,6298.074578
0.005779,6298.183586
0.005788,6298.293259
0.005797,6298.403597
0.005806,6298.5146
0.005815,6298.62627
0.005824,6298.738605
0.005833,6298.851608
0.005842,6298.965278
0.005851,6299.079615
0.00586,6299.194621
0.005869,6299.310295
0.005878,6299.426638
0.005887,6299.543651
0.005896,6299.661332
0.005905,6299.779684
0.005914,6299.898705
0.005923,6300.018396
0.005932,6300.138758
0.005941,6300.259789
0.00595,6300.38149
0.005959,6300.503861
0.005968,6300.626902
0.005977,6300.750611
0.005986,6300.874988
0.005995,6301.000033
0.006004,6301.125745
0.006013,6301.252122
0.006022,6301.379162
0.006031,6301.506864
0.00604,6301.635227
0.006049,6301.764248
0.006058,6301.893926
0.006067,6302.024259
0.006076,6302.155245
0.006085,6302.286887
0.006094,6302.419184
0.006103,6302.552143
0.006112,6302.685769
0.006121,6302.820071
0.00613,6302.955059
0.006139,6303.090745
0.006148,6303.227137
0.006157,6303.364242
0.006166,6303.502064
0.006175,6303.640602
0.006184,6303.779856
0.006193,6303.919825
0.006202,6304.060504
0.006211,6304.201894
0.00622,6304.343993
0.006229,6304.4868
0.006238,6304.630316
0.006247,6304.774541
0.006256,6304.919478
0.006265,6305.065129
0.006274,6305.211495
0.006283,6305.35858
0.006292,6305.506386
0.006301,6305.654918
0.00631,6305.804178
0.006319,6305.95417
0.006328,6306.104898
0.006337,6306.256365
0.006346,6306.408576
0.006355,6306.561533
0.006364,6306.71524
0.006373,6306.869698
0.006382,6307.024909
0.006391,6307.180872
0.0064,6307.337587
