Lambda,Error,
2.454369260617026e-06,2567676274.19,
7.115216486528758e-06,885708588.795,
1.1776063712440489e-05,535152589.358,
1.6436910938352222e-05,383403770.154,
2.1097758164263953e-05,298702649.365,
2.5758605390175686e-05,244653730.295,
3.0419452616087416e-05,207167486.309,
3.5080299841999146e-05,179642255.062,
3.974114706791088e-05,158573349.702,
4.4401994293822614e-05,141927621.784,
4.906284151973435e-05,128444498.931,
5.3723688745646074e-05,117300857.155,
5.838453597155781e-05,107936412.965,
6.304538319746954e-05,99956566.4266,
6.770623042338127e-05,93075373.4811,
7.236707764929301e-05,87080555.7009,
7.702792487520474e-05,81811213.2882,
8.168877210111646e-05,77143167.7403,
8.63496193270282e-05,72979051.4212,
9.101046655293993e-05,69241442.3423,
9.567131377885167e-05,65868005.6735,
0.0001003321610047634,62807989.4357,
0.00010499300823067512,60019653.5724,
0.00010965385545658686,57468354.6871,
0.00011431470268249859,55125099.3154,
0.00011897554990841032,52965437.2493,
0.00012363639713432206,50968605.1784,
0.0001282972443602338,49116856.9924,
0.0001329580915861455,47394934.9416,
0.00013761893881205725,45789648.2602,
0.000142279786037969,44289534.6118,
0.0001469406332638807,42884585.9672,
0.00015160148048979245,41566025.0475,
0.00015626232771570419,40326121.7758,
0.0001609231749416159,39158041.6258,
0.00016558402216752764,38055719.5821,
0.00017024486939343938,37013754.8047,
0.0001749057166193511,36027322.1351,
0.00017956656384526283,35092097.3835,
0.00018422741107117457,34204193.9586,
0.00018888825829708631,33360108.8779,
0.00019354910552299803,32556676.5794,
0.00019820995274890977,31791029.2504,
0.0002028707999748215,31060562.6236,
0.00020753164720073322,30362906.3836,
0.00021219249442664496,29695898.4726,
0.0002168533416525567,29057562.7099,
0.00022151418887846841,28446089.237,
0.00022617503610438016,27859817.3802,
0.0002308358833302919,27297220.5897,
0.0002354967305562036,26756893.1666,
0.00024015757778211535,26237538.5367,
0.0002448184250080271,25737958.8618,
0.00024947927223393883,25257045.8175,
0.00025414011945985057,24793772.3848,
0.00025880096668576226,24347185.5282,
0.000263461813911674,23916399.6524,
0.00026812266113758574,23500590.7401,
0.0002727835083634975,23098991.0913,
0.0002774443555894092,22710884.5934,
0.00028210520281532096,22335602.4589,
0.00028676605004123264,21972519.38,
0.0002914268972671444,21621050.0518,
0.0002960877444930561,21280646.0233,
0.00030074859171896787,20950792.8421,
0.0003054094389448796,20631007.4598,
0.00031007028617079135,20320835.8721,
0.0003147311333967031,20019850.968,
0.00031939198062261477,19727650.5677,
0.0003240528278485265,19443855.6295,
0.00032871367507443825,19168108.6094,
0.00033337452230035,18900071.9587,
0.00033803536952626173,18639426.745,
0.0003426962167521735,18385871.3866,
0.00034735706397808516,18139120.4883,
0.0003520179112039969,17898903.7698,
0.00035667875842990864,17664965.0783,
0.0003613396056558204,17437061.4773,
0.0003660004528817321,17214962.4047,
0.00037066130010764386,16998448.8956,
0.0003753221473335556,16787312.8614,
0.0003799829945594673,16581356.4233,
0.00038464384178537903,16380391.2934,
0.00038930468901129077,16184238.2008,
0.0003939655362372025,15992726.3581,
0.00039862638346311425,15805692.9655,
0.000403287230689026,15622982.749,
0.0004079480779149377,15444447.531,
0.0004126089251408494,15269945.829,
0.00041726977236676116,15099342.4819,
0.0004219306195926729,14932508.3008,
0.00042659146681858464,14769319.7428,
0.0004312523140444964,14609658.6057,
0.00043591316127040806,14453411.7429,
